country,year,phase,vre_share,pv_share,wind_share,cr_pv,cr_wind,h_neg,h_below5,h_above100,far,ir,sr,baseload,spread_p95p05,coherence,completeness,h_a,h_b,h_c,h_d
FR,2015,1,0.05,0.0133,0.0367,1.0214,0.9684,0,24,6,0.8484,1.1263,0.0607,38.46,41.5,0.6264,0.989,0,5557,2791,316
FR,2016,1,0.0534,0.0155,0.0379,0.9458,0.9372,2,38,73,0.8969,0.9962,0.0305,36.75,57.29,0.8412,0.9987,0,3575,4677,521
FR,2017,1,0.0616,0.0173,0.0443,0.9211,0.9855,4,28,169,0.9289,1.0085,0.0285,44.95,61.51,0.7421,0.9989,0,3468,4753,529
FR,2018,1,0.0687,0.0183,0.0504,1.0207,0.9593,11,52,74,0.8332,1.0529,0.0562,50.2,56.89,0.5348,0.9997,0,5022,3362,373
FR,2019,1,0.0845,0.0219,0.0626,0.9571,0.9459,27,80,7,0.8763,1.0282,0.0516,39.45,48.55,0.6351,0.9995,0,5016,3366,374
FR,2020,1,0.1045,0.0256,0.0789,0.9272,0.9362,102,265,25,0.9228,0.8761,0.033,32.2,48.51,0.8676,1.0,0,3716,4561,507
FR,2021,1,0.0962,0.0269,0.0693,0.8636,0.9393,64,154,2988,0.8363,1.0501,0.0508,109.18,259.62,0.4088,1.0,0,4450,3879,431
FR,2022,1,0.1283,0.042,0.0863,1.0566,0.8483,4,45,8247,0.9774,0.7148,0.004,275.89,457.46,0.8684,0.9995,0,681,7267,808
FR,2023,1,0.1469,0.0455,0.1015,0.8631,0.888,147,388,4089,0.8661,0.9607,0.0648,96.86,163.03,0.519,0.9997,0,5278,3131,348
FR,2024,2,0.1339,0.0451,0.0887,0.6765,0.9025,352,1018,1373,0.7802,1.0632,0.1282,58.02,122.83,0.4867,1.0,0,7463,1189,132
DE,2015,1,0.2205,0.0664,0.154,0.9708,0.8625,110,176,0,1.0,0.4233,0.0,31.83,39.44,0.9445,0.9892,0,13,7777,875
DE,2016,1,0.2167,0.0652,0.1515,0.9219,0.8659,97,183,1,1.0,0.451,0.0001,28.98,37.76,0.9559,1.0,0,21,7886,877
DE,2017,1,0.2645,0.0665,0.1981,0.9247,0.8245,147,245,61,1.0,0.4313,0.0001,34.19,50.59,0.9382,1.0,0,22,7864,874
DE,2018,1,0.2679,0.0882,0.1797,1.0167,0.8368,106,172,0,1.0,0.4232,0.0003,41.74,53.76,0.9363,0.9997,0,57,5842,649
DE,2019,1,0.3235,0.0814,0.2421,0.9267,0.8707,211,335,7,1.0,0.2845,0.0006,37.67,47.57,0.9582,1.0,0,137,7760,863
DE,2020,2,0.3568,0.093,0.2638,0.8044,0.8287,298,598,25,1.0,0.244,0.0007,30.47,53.93,0.8937,1.0,0,140,7779,865
DE,2021,2,0.318,0.0921,0.2259,0.7791,0.8589,139,247,2667,1.0,0.2702,0.0004,96.85,226.04,0.8179,1.0,0,77,7814,869
DE,2022,1,0.3708,0.114,0.2567,0.9441,0.7367,70,160,7368,1.0,0.3104,0.0019,235.44,469.9,0.8729,1.0,0,374,7547,839
